,SYMBOL,COMPANY NAME
488,BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
489,VOLTAMP.NS,Voltamp Transformers Limited
490,ALOKINDS.NS,Alok Industries Limited
491,EUREKAFORB.NS,Eureka Forbes Limited
492,METROPOLIS.NS,Metropolis Healthcare Limited
493,TIPSMUSIC.NS,Tips Music Limited
494,ELECTCAST.NS,Electrosteel Castings Limited
496,HOMEFIRST.NS,Home First Finance Company India Limited
497,JKTYRE.NS,JK Tyre & Industries Limited
498,RAYMOND.NS,Raymond Limited
499,SAFARI.NS,Safari Industries (India) Limited
500,RBLBANK.NS,RBL Bank Limited
501,SAMMAANCAP.NS,Sammaan Capital Limited
502,WABAG.NS,VA Tech Wabag Limited
503,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
504,MAPMYINDIA.NS,C.E. Info Systems Limited
505,ENGINERSIN.NS,Engineers India Limited
506,VESUVIUS.NS,Vesuvius India Limited
507,SAPPHIRE.NS,Sapphire Foods India Limited
508,INTELLECT.NS,Intellect Design Arena Limited
509,QUESS.NS,Quess Corp Limited
510,GALAXYSURF.NS,Galaxy Surfactants Limited
511,GRAPHITE.NS,Graphite India Limited
512,HAPPYFORGE.NS,Happy Forgings Limited
513,SCI.NS,Shipping Corporation Of India Limited
514,FORCEMOT.NS,FORCE MOTORS LTD
515,TANLA.NS,Tanla Platforms Limited
516,EDELWEISS.NS,Edelweiss Financial Services Limited
517,SYMPHONY.NS,Symphony Limited
518,INOXINDIA.NS,INOX India Limited
519,KIRLPNU.NS,Kirloskar Pneumatic Company Limited
520,BAJAJELEC.NS,Bajaj Electricals Limited
521,CHOICEIN.NS,Choice International Limited
522,VIJAYA.NS,Vijaya Diagnostic Centre Limited
523,PURVA.NS,Puravankara Limited
524,SAREGAMA.NS,Saregama India Limited
525,KPIGREEN.NS,KPI Green Energy Limited
526,ISGEC.NS,Isgec Heavy Engineering Limited
527,PNGJL.NS,P N Gadgil Jewellers Limited
528,PRSMJOHNSN.NS,Prism Johnson Limited
529,ITDCEM.NS,ITD Cementation India Limited
530,CHENNPETRO.NS,Chennai Petroleum Corporation Limited
531,ROUTE.NS,ROUTE MOBILE LIMITED
532,GPPL.NS,Gujarat Pipavav Port Limited
533,JKLAKSHMI.NS,JK Lakshmi Cement Limited
534,SENCO.NS,Senco Gold Limited
535,ARVIND.NS,Arvind Limited
536,JUSTDIAL.NS,Just Dial Limited
537,TIMETECHNO.NS,Time Technoplast Limited
538,LATENTVIEW.NS,Latent View Analytics Limited
539,ESABINDIA.NS,Esab India Limited
540,CERA.NS,Cera Sanitaryware Limited
541,SANSERA.NS,Sansera Engineering Limited
542,ABDL.NS,Allied Blenders and Distillers Limited
543,GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited
544,LEMONTREE.NS,Lemon Tree Hotels Limited
545,RTNINDIA.NS,RattanIndia Enterprises Limited
546,TRIVENI.NS,Triveni Engineering & Industries Limited
547,RUSTOMJEE.NS,Keystone Realtors Limited
548,RENUKA.NS,Shree Renuka Sugars Limited
549,POWERMECH.NS,Power Mech Projects Limited
550,SBFC.NS,SBFC Finance Limited
551,SHRIPISTON.NS,Shriram Pistons & Rings Limited
552,SYRMA.NS,Syrma SGS Technology Limited
553,MAXESTATES.NS,Max Estates Limited
554,JLHL.NS,Jupiter Life Line Hospitals Limited
555,VMART.NS,V-Mart Retail Limited
556,RCF.NS,Rashtriya Chemicals and Fertilizers Limited
557,BIRLACORPN.NS,Birla Corporation Limited
558,THOMASCOOK.NS,Thomas Cook  (India)  Limited
559,SFL.NS,Sheela Foam Limited
560,CAMPUS.NS,Campus Activewear Limited
561,DBREALTY.NS,Valor Estate Limited
562,GANESHHOUC.NS,Ganesh Housing Corporation Limited
563,EPIGRAL.NS,Epigral Limited
564,MASTEK.NS,Mastek Limited
565,GRWRHITECH.NS,Garware Hi-Tech Films Limited
566,AURIONPRO.NS,Aurionpro Solutions Limited
567,HGINFRA.NS,H.G. Infra Engineering Limited
568,CCL.NS,CCL Products (India) Limited
569,LLOYDSENGG.NS,LLOYDS ENGINEERING WORKS LIMITED
570,EPL.NS,EPL Limited
571,ASKAUTOLTD.NS,ASK Automotive Limited
572,GMRP&UI.NS,GMR Power and Urban Infra Limited
573,TEXRAIL.NS,Texmaco Rail & Engineering Limited
574,FDC.NS,FDC Limited
575,CMSINFO.NS,CMS Info Systems Limited
576,RATEGAIN.NS,Rategain Travel Technologies Limited
577,AZAD.NS,Azad Engineering Limited
578,MAHSEAMLES.NS,Maharashtra Seamless Limited
579,PGHL.NS,Procter & Gamble Health Limited
580,RELIGARE.NS,Religare Enterprises Limited
581,HEG.NS,HEG Limited
582,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
583,BLUEJET.NS,Blue Jet Healthcare Limited
584,PARADEEP.NS,Paradeep Phosphates Limited
585,SHILPAMED.NS,Shilpa Medicare Limited
586,IONEXCHANG.NS,ION Exchange (India) Limited
587,PNCINFRA.NS,PNC Infratech Limited
588,TCI.NS,Transport Corporation of India Limited
589,BALUFORGE.NS,Balu Forge Industries Limited
590,KNRCON.NS,KNR Constructions Limited
591,STARCEMENT.NS,Star Cement Limited
592,TVSSCS.NS,TVS Supply Chain Solutions Limited
593,EQUITASBNK.NS,Equitas Small Finance Bank Limited
594,BBOX.NS,Black Box Limited
595,KTKBANK.NS,The Karnataka Bank Limited
596,ANURAS.NS,Anupam Rasayan India Limited
597,VARROC.NS,Varroc Engineering Limited
598,SUNTECK.NS,Sunteck Realty Limited
599,AVANTIFEED.NS,Avanti Feeds Limited
600,ACI.NS,Archean Chemical Industries Limited
601,AMIORG.NS,Ami Organics Limited
602,INFIBEAM.NS,Infibeam Avenues Limited
603,GARFIBRES.NS,Garware Technical Fibres Limited
605,JKPAPER.NS,JK Paper Limited
606,INDIGOPNTS.NS,Indigo Paints Limited
607,PDSL.NS,PDS Limited
608,MEDPLUS.NS,Medplus Health Services Limited
609,MAHLIFE.NS,Mahindra Lifespace Developers Limited
610,MHRIL.NS,Mahindra Holidays & Resorts India Limited
611,RTNPOWER.NS,RattanIndia Power Limited
612,EMUDHRA.NS,eMudhra Limited
613,JUNIPER.NS,Juniper Hotels Limited
614,ICIL.NS,Indo Count Industries Limited
615,LXCHEM.NS,Laxmi Organic Industries Limited
616,RAJESHEXPO.NS,Rajesh Exports Limited
617,ARVINDFASN.NS,Arvind Fashions Limited
618,NAZARA.NS,Nazara Technologies Limited
619,ASTRAMICRO.NS,Astra Microwave Products Limited
620,SHOPERSTOP.NS,Shoppers Stop Limited
621,SUNDARMHLD.NS,Sundaram Finance Holdings Limited
622,CHEMPLASTS.NS,Chemplast Sanmar Limited
623,INDIASHLTR.NS,India Shelter Finance Corporation Limited
624,DBL.NS,Dilip Buildcon Limited
625,SURYAROSNI.NS,Surya Roshni Limited
626,EMIL.NS,Electronics Mart India Limited
627,RESPONIND.NS,Responsive Industries Limited
628,DODLA.NS,Dodla Dairy Limited
629,MANINFRA.NS,Man Infraconstruction Limited
630,UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited
631,ORIENTCEM.NS,Orient Cement Limited
632,ORCHPHARMA.NS,Orchid Pharma Limited
633,TMB.NS,Tamilnad Mercantile Bank Limited
634,SPARC.NS,Sun Pharma Advanced Research Company Limited
635,SANDUMA.NS,Sandur Manganese & Iron Ores Limited
636,ETHOSLTD.NS,Ethos Limited
637,SUDARSCHEM.NS,Sudarshan Chemical Industries Limited
638,DHANUKA.NS,Dhanuka Agritech Limited
639,AHLUCONT.NS,Ahluwalia Contracts (India) Limited
640,BALAMINES.NS,Balaji Amines Limited
641,EMBDL.NS,Equinox India Developments Limited
642,TARC.NS,TARC Limited
643,GREENLAM.NS,Greenlam Industries Limited
644,VIPIND.NS,VIP Industries Limited
645,ICRA.NS,ICRA Limited
646,PRIVISCL.NS,Privi Speciality Chemicals Limited
647,HNDFDS.NS,Hindustan Foods Limited
648,SUPRAJIT.NS,Suprajit Engineering Limited
649,NESCO.NS,Nesco Limited
650,WELENT.NS,Welspun Enterprises Limited
651,MOIL.NS,MOIL Limited
652,TIIL.NS,Technocraft Industries (India) Limited
653,KESORAMIND.NS,Kesoram Industries Limited
654,HCC.NS,Hindustan Construction Company Limited
655,ASHOKA.NS,Ashoka Buildcon Limited
656,SOUTHBANK.NS,The South Indian Bank Limited
657,RALLIS.NS,Rallis India Limited
658,SHARDACROP.NS,Sharda Cropchem Limited
659,KRBL.NS,KRBL Limited
660,GABRIEL.NS,Gabriel India Limited
662,SHAREINDIA.NS,Share India Securities Limited
663,BANSALWIRE.NS,Bansal Wire Industries Limited
664,IFBIND.NS,IFB Industries Limited
665,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
666,GMMPFAUDLR.NS,GMM Pfaudler Limited
668,HCG.NS,Healthcare Global Enterprises Limited
669,MIDHANI.NS,Mishra Dhatu Nigam Limited
670,ANUP.NS,The Anup Engineering Limited
671,INOXGREEN.NS,Inox Green Energy Services Limited
672,GOKEX.NS,Gokaldas Exports Limited
673,TDPOWERSYS.NS,TD Power Systems Limited
674,JINDWORLD.NS,Jindal Worldwide Limited
675,GAEL.NS,Gujarat Ambuja Exports Limited
676,GOCOLORS.NS,Go Fashion (India) Limited
677,THANGAMAYL.NS,Thangamayil Jewellery Limited
678,CEIGALL.NS,Ceigall India Limited
679,SHARDAMOTR.NS,Sharda Motor Industries Limited
680,AGI.NS,AGI Greenpac Limited
681,LUXIND.NS,Lux Industries Limited
682,SKIPPER.NS,Skipper Limited
683,MANORAMA.NS,Manorama Industries Limited
684,ENTERO.NS,Entero Healthcare Solutions Limited
685,IXIGO.NS,Le Travenues Technology Limited
686,LLOYDSENT.NS,Lloyds Enterprises Limited
687,NIITMTS.NS,NIIT Learning Systems Limited
688,GHCL.NS,GHCL Limited
690,ROLEXRINGS.NS,Rolex Rings Limited
691,JAICORPLTD.NS,Jai Corp Limited
692,JKIL.NS,J.Kumar Infraprojects Limited
693,SIS.NS,SIS LIMITED
694,STLTECH.NS,Sterlite Technologies Limited
695,GOPAL.NS,Gopal Snacks Limited
696,YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited
697,EASEMYTRIP.NS,Easy Trip Planners Limited
700,GULFOILLUB.NS,Gulf Oil Lubricants India Limited
701,RSYSTEMS.NS,R Systems International Limited
702,AARTIPHARM.NS,Aarti Pharmalabs Limited
703,UNICHEMLAB.NS,Unichem Laboratories Limited
704,TI.NS,Tilaknagar Industries Limited
705,PRICOLLTD.NS,Pricol Limited
706,PTC.NS,PTC India Limited
707,BOROLTD.NS,Borosil Limited
708,NEOGEN.NS,Neogen Chemicals Limited
709,ALLCARGO.NS,Allcargo Logistics Limited
710,JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited
711,VSTIND.NS,VST Industries Limited
712,NFL.NS,National Fertilizers Limited
713,RAIN.NS,Rain Industries Limited
714,PRINCEPIPE.NS,Prince Pipes And Fittings Limited
715,DBCORP.NS,D.B.Corp Limited
716,CSBBANK.NS,CSB Bank Limited
717,ORIENTELEC.NS,Orient Electric Limited
718,ITDC.NS,India Tourism Development Corporation Limited
719,HEIDELBERG.NS,HeidelbergCement India Limited
720,MASFIN.NS,MAS Financial Services Limited
721,GANECOS.NS,Ganesha Ecosphere Limited
722,SUNCLAY.NS,Sundaram Clayton Limited
723,HEMIPROP.NS,Hemisphere Properties India Limited
724,BBL.NS,Bharat Bijlee Limited
725,BANCOINDIA.NS,Banco Products (I) Limited
726,ADVENZYMES.NS,Advanced Enzyme Technologies Limited
727,SUPRIYA.NS,Supriya Lifescience Limited
728,MTARTECH.NS,Mtar Technologies Limited
729,THYROCARE.NS,Thyrocare Technologies Limited
730,CYIENTDLM.NS,Cyient DLM Limited
731,CARTRADE.NS,Cartrade Tech Limited
732,WONDERLA.NS,Wonderla Holidays Limited
733,ORISSAMINE.NS,The Orissa Minerals Development Company Limited
734,VRLLOG.NS,VRL Logistics Limited
735,JSFB.NS,Jana Small Finance Bank Limited
736,HERITGFOOD.NS,Heritage Foods Limited
737,DYNAMATECH.NS,Dynamatic Technologies Limited
738,KIRLOSIND.NS,Kirloskar Industries Limited
739,AWFIS.NS,Awfis Space Solutions Limited
740,VAIBHAVGBL.NS,Vaibhav Global Limited
741,TEAMLEASE.NS,Teamlease Services Limited
742,NOCIL.NS,NOCIL Limited
743,BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited
744,BHARATRAS.NS,Bharat Rasayan Limited
745,GREENPANEL.NS,Greenpanel Industries Limited
746,MSTCLTD.NS,Mstc Limited
747,HARSHA.NS,Harsha Engineers International Limited
749,PITTIENG.NS,Pitti Engineering Limited
750,RBA.NS,Restaurant Brands Asia Limited
751,HIKAL.NS,Hikal Limited
752,KSCL.NS,Kaveri Seed Company Limited
753,UTKARSHBNK.NS,Utkarsh Small Finance Bank Limited
754,GREENPLY.NS,Greenply Industries Limited
755,AARTIDRUGS.NS,Aarti Drugs Limited
756,BANARISUG.NS,Bannari Amman Sugars Limited
757,GATEWAY.NS,Gateway Distriparks Limited
758,JAMNAAUTO.NS,Jamna Auto Industries Limited
759,JTEKTINDIA.NS,Jtekt India Limited
760,GUFICBIO.NS,Gufic Biosciences Limited
761,PGIL.NS,Pearl Global Industries Limited
762,MEDIASSIST.NS,Medi Assist Healthcare Services Limited
763,ROSSARI.NS,Rossari Biotech Limited
764,EMSLIMITED.NS,EMS Limited
765,CARERATING.NS,CARE Ratings Limited
766,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
767,STYRENIX.NS,Styrenix Performance Materials Limited
769,INNOVACAP.NS,Innova Captab Limited
770,BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited
771,MOREPENLAB.NS,Morepen Laboratories Limited
772,FCL.NS,Fineotex Chemical Limited
773,GREAVESCOT.NS,Greaves Cotton Limited
774,SHANTIGEAR.NS,Shanthi Gears Limited
775,LGBBROSLTD.NS,LG Balakrishnan & Bros Limited
776,UFLEX.NS,UFLEX Limited
778,PAISALO.NS,Paisalo Digital Limited
779,ARVSMART.NS,Arvind SmartSpaces Limited
780,RAMKY.NS,Ramky Infrastructure Limited
781,AVANTEL.NS,Avantel Limited
782,JAYNECOIND.NS,Jayaswal Neco Industries Limited
783,SHK.NS,S H Kelkar and Company Limited
784,JISLJALEQS.NS,Jain Irrigation Systems Limited
785,IMAGICAA.NS,Imagicaaworld Entertainment Limited
786,SUBROS.NS,Subros Limited
787,PATELENG.NS,Patel Engineering Limited
788,GOKULAGRO.NS,Gokul Agro Resources Limited
789,JTLIND.NS,JTL INDUSTRIES LIMITED
790,PARAS.NS,Paras Defence and Space Technologies Limited
791,DPABHUSHAN.NS,D. P. Abhushan Limited
792,SAMHI.NS,Samhi Hotels Limited
793,BALMLAWRIE.NS,Balmer Lawrie & Company Limited
794,PFOCUS.NS,Prime Focus Limited
795,RPGLIFE.NS,RPG Life Sciences Limited
796,SEPC.NS,SEPC Limited
797,FIEMIND.NS,Fiem Industries Limited
798,SERVOTECH.NS,Servotech Power Systems Limited
799,INDRAMEDCO.NS,Indraprastha Medical Corporation Limited
800,NORTHARC.NS,Northern Arc Capital Limited
801,AVALON.NS,Avalon Technologies Limited
802,VSTTILLERS.NS,V.S.T Tillers Tractors Limited
803,CIGNITITEC.NS,Cigniti Technologies Limited
804,JISLDVREQS.NS,Jain Irrigation Systems Limited
805,HONDAPOWER.NS,Honda India Power Products Limited
806,KKCL.NS,Kewal Kiran Clothing Limited
807,GOLDIAM.NS,Goldiam International Limited
808,FEDFINA.NS,Fedbank Financial Services Limited
809,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited
810,VENUSPIPES.NS,Venus Pipes & Tubes Limited
811,STYLAMIND.NS,Stylam Industries Limited
812,INDOSTAR.NS,IndoStar Capital Finance Limited
813,DCXINDIA.NS,DCX Systems Limited
814,TCIEXP.NS,TCI Express Limited
815,DCBBANK.NS,DCB Bank Limited
816,SJS.NS,S.J.S. Enterprises Limited
817,SBCL.NS,Shivalik Bimetal Controls Limited
818,WSTCSTPAPR.NS,West Coast Paper Mills Limited
819,INDIAGLYCO.NS,India Glycols Limited
820,EXICOM.NS,Exicom Tele-Systems Limited
821,LAOPALA.NS,La Opala RG Limited
824,HITECH.NS,Hi-Tech Pipes Limited
825,MPSLTD.NS,MPS Limited
826,IMFA.NS,Indian Metals & Ferro Alloys Limited
827,KINGFA.NS,Kingfa Science & Technology (India) Limited
828,SOTL.NS,Savita Oil Technologies Limited
829,SWARAJENG.NS,Swaraj Engines Limited
830,VPRPL.NS,Vishnu Prakash R Punglia Limited
831,JNKINDIA.NS,JNK India Limited
832,AJMERA.NS,Ajmera Realty & Infra India Limited
833,LUMAXTECH.NS,Lumax Auto Technologies Limited
834,HGS.NS,Hinduja Global Solutions Limited
835,POLYPLEX.NS,Polyplex Corporation Limited
836,SULA.NS,Sula Vineyards Limited
837,RPSGVENT.NS,RPSG VENTURES LIMITED
838,SANGHVIMOV.NS,Sanghvi Movers Limited
839,DATAMATICS.NS,Datamatics Global Services Limited
840,SINDHUTRAD.NS,Sindhu Trade Links Limited
841,KSL.NS,Kalyani Steels Limited
842,PRECWIRE.NS,Precision Wires India Limited
843,MONARCH.NS,Monarch Networth Capital Limited
844,SEAMECLTD.NS,Seamec Limited
845,HATHWAY.NS,Hathway Cable & Datacom Limited
846,MUTHOOTMF.NS,Muthoot Microfin Limited
847,GEOJITFSL.NS,Geojit Financial Services Limited
848,BEPL.NS,Bhansali Engineering Polymers Limited
849,DHANI.NS,Dhani Services Limited
850,SOLARA.NS,Solara Active Pharma Sciences Limited
851,HPL.NS,HPL Electric & Power Limited
852,VISHNU.NS,Vishnu Chemicals Limited
853,CAPACITE.NS,Capacit'e Infraprojects Limited
854,VEEDOL.NS,Veedol Corporation Limited
855,JINDALPOLY.NS,Jindal Poly Films Limited
856,QUICKHEAL.NS,Quick Heal Technologies Limited
857,POKARNA.NS,Pokarna Limited
858,JYOTISTRUC.NS,Jyoti Structures Limited
859,GENESYS.NS,Genesys International Corporation Limited
860,ALEMBICLTD.NS,Alembic Limited
861,ORIENTHOT.NS,Oriental Hotels Limited
862,PARKHOTELS.NS,Apeejay Surrendra Park Hotels Limited
863,GIPCL.NS,Gujarat Industries Power Company Limited
865,SSWL.NS,Steel Strips Wheels Limited
866,KDDL.NS,KDDL Limited
867,FINOPB.NS,Fino Payments Bank Limited
868,ADFFOODS.NS,ADF Foods Limited
869,APOLLO.NS,Apollo Micro Systems Limited
871,SURAJEST.NS,Suraj Estate Developers Limited
872,ASHIANA.NS,Ashiana Housing Limited
873,NUCLEUS.NS,Nucleus Software Exports Limited
874,NAVNETEDUL.NS,Navneet Education Limited
875,DELTACORP.NS,Delta Corp Limited
876,GOODLUCK.NS,Goodluck India Limited
877,TASTYBITE.NS,Tasty Bite Eatables Limited
878,TIRUMALCHM.NS,Thirumalai Chemicals Limited
879,BAJAJCON.NS,Bajaj Consumer Care Limited
880,KRSNAA.NS,Krsnaa Diagnostics Limited
881,GLOBUSSPR.NS,Globus Spirits Limited
882,MTNL.NS,Mahanagar Telephone Nigam Limited
883,SALASAR.NS,Salasar Techno Engineering Limited
884,WENDT.NS,Wendt (India) Limited
885,DEEPINDS.NS,Deep Industries Limited
886,MARATHON.NS,Marathon Nextgen Realty Limited
887,REPCOHOME.NS,Repco Home Finance Limited
888,FLAIR.NS,Flair Writing Industries Limited
889,MAITHANALL.NS,Maithan Alloys Limited
890,PRAKASH.NS,Prakash Industries Limited
891,DCAL.NS,Dishman Carbogen Amcis Limited
892,SAGCEM.NS,Sagar Cements Limited
893,SCILAL.NS,Shipping Corporation of India Land and Assets Limited
894,SUMMITSEC.NS,Summit Securities Limited
895,JASH.NS,Jash Engineering Limited
896,MAHLOG.NS,Mahindra Logistics Limited
897,RPEL.NS,Raghav Productivity Enhancers Limited
898,SANDHAR.NS,Sandhar Technologies Limited
899,SPANDANA.NS,Spandana Sphoorty Financial Limited
900,PRECAM.NS,Precision Camshafts Limited
901,BAJEL.NS,Bajel Projects Limited
902,NILKAMAL.NS,Nilkamal Limited
903,FOSECOIND.NS,Foseco India Limited
905,TVSSRICHAK.NS,TVS Srichakra Limited
906,SAKSOFT.NS,Saksoft Limited
907,VAKRANGEE.NS,Vakrangee Limited
908,EVEREADY.NS,Eveready Industries India Limited
909,DOLLAR.NS,Dollar Industries Limited
910,GENSOL.NS,Gensol Engineering Limited
911,DCW.NS,DCW Limited
912,INDOCO.NS,Indoco Remedies Limited
913,KRN.NS,KRN Heat Exchanger and Refrigeration Limited
914,DREDGECORP.NS,Dredging Corporation of India Limited
915,PFS.NS,PTC India Financial Services Limited
916,KOLTEPATIL.NS,Kolte - Patil Developers Limited
917,AUTOAXLES.NS,Automotive Axles Limited
918,TCPLPACK.NS,TCPL Packaging Limited
919,KCP.NS,KCP Limited
921,HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
922,RAJRATAN.NS,Rajratan Global Wire Limited
923,STANLEY.NS,Stanley Lifestyles Limited
924,RANEHOLDIN.NS,Rane Holdings Limited
925,VADILALIND.NS,Vadilal Industries Limited
926,SUVEN.NS,Suven Life Sciences Limited
927,SOMANYCERA.NS,Somany Ceramics Limited
928,INTERARCH.NS,Interarch Building Products Limited
929,SMLISUZU.NS,SML Isuzu Limited
930,RPTECH.NS,Rashi Peripherals Limited
931,CONFIPET.NS,Confidence Petroleum India Limited
932,MAYURUNIQ.NS,Mayur Uniquoters Ltd
933,SHALBY.NS,Shalby Limited
934,MOL.NS,Meghmani Organics Limited
935,ARKADE.NS,Arkade Developers Limited
936,UDS.NS,Updater Services Limited
937,KALAMANDIR.NS,Sai Silks (Kalamandir) Limited
938,STYLEBAAZA.NS,Baazar Style Retail Limited
939,RAMRAT.NS,Ram Ratna Wires Limited
940,SASKEN.NS,Sasken Technologies Limited
941,STOVEKRAFT.NS,Stove Kraft Limited
942,GTLINFRA.NS,GTL Infrastructure Limited
943,SYSTMTXC.NS,SYSTEMATIX CORPORATE SERVICES LTD.
944,EFCIL.NS,EFC (I) Ltd
945,VENKEYS.NS,Venky's (India) Limited
946,BFINVEST.NS,BF Investment Limited
947,HLEGLAS.NS,HLE Glascoat Limited
948,AEROFLEX.NS,Aeroflex Industries Limited
949,PENIND.NS,Pennar Industries Limited
950,NRBBEARING.NS,NRB Bearing Limited
951,LANDMARK.NS,Landmark Cars Limited
952,THEJO.NS,Thejo Engineering Limited
953,SMSPHARMA.NS,SMS Pharmaceuticals Limited
954,DIAMONDYD.NS,Prataap Snacks Limited
955,SIYSIL.NS,Siyaram Silk Mills Limited
956,POCL.NS,Pondy Oxides & Chemicals Limited
957,FILATEX.NS,Filatex India Limited
958,IDEAFORGE.NS,Ideaforge Technology Limited
959,DREAMFOLKS.NS,Dreamfolks Services Limited
960,PARAGMILK.NS,Parag Milk Foods Limited
961,63MOONS.NS,63 moons technologies limited
962,PREMEXPLN.NS,Premier Explosives Limited
963,INSECTICID.NS,Insecticides (India) Limited
964,ACCELYA.NS,Accelya Solutions India Limited
965,ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited
966,THEMISMED.NS,Themis Medicare Limited
967,INDIANHUME.NS,Indian Hume Pipe Company Limited
968,DOLATALGO.NS,Dolat Algotech Limited
969,PSPPROJECT.NS,PSP Projects Limited
